factor_artist_name,max_artist_hotttnesss
Weeping Tile,0
Crash Crew,0
The Shore,0
Derniere Volonte,0
Carl Carlton And The Songdogs,0
Gabby Glaser,0
Rebeca Mauleón,0
Justin Hayward / John Lodge,0
Mc Créu,0
Nathaniel Bartlett,0
Pegi Young,0
Ultra Flirt,0
Som Imaginario,0
Lory Bianco,0
The Freed Unit,0
Decadence,0
Arne Weise,0
Bram Vermeulen,0
Mystic Revealers,0
Your Brother in My Backpack,0
Lotte Ohm,0
Nasio Fontaine,0
Alex Swings Oscar Sings!,0
Kitbuilders,0
Fuat,0
Clã E Sérgio Godinho,0
Girl Eats Boy,0
Xiii. Stoleti,0
Suffering And The Hideous Thieves,0
Park-Like Setting,0
Mauro Pagani,0
Daniël Lohues,0
Time Has Come,0
Abe Duque feat. Blake Baxter,0
Fröbelin Palikat,0
Eric Sarmiento,0
Eugene Hideaway Bridges,0
Dima Krasnik & Vol Deeman,0
Gabriel Gordon,0
Margie Bermejo,0
Mark-Anthony Abel,0
Thee Fine Lines,0
Roey Marquis II.,0
Amalia Avgoustaki,0
Irini Merkouri,0
Cub Country,0
Novos Baianos,0.0142683171894
B.E.N & Mr. Pit,0.0661502231794
Boo Reka,0.0845386413243
3-2 Get Funky,0.0872619234833
Les Hou-Lops,0.116156134208
Roadside Monument,0.12133498737
Gina V. D'Orio,0.124010097288
RONNIE RONALDE,0.127701885146
Chris Smither,0.128923080138
Dumptruck,0.128970328297
Die Unsichtbaren,0.136863898027
83,0.137306580497
Bob James And Earl Klugh,0.143446218381
Graham Central Station,0.145157248347
SKC & Bratwa,0.146881057582
Theo Hakola,0.150031686956
Bechet Spanier Big Four,0.152282770871
Two Stars Burning Sun,0.152375959758
Bon Scott With Fraternity,0.155941948288
Joe Zangie,0.156535536941
A Faith Called Chaos,0.15813508916
Fred Åkerström,0.159900753891
Sombre View,0.164145957087
McGuinn_ Clark & Hillman,0.166436910306
Bing Crosby_ Judy Garland,0.169226445991
Grossomodo,0.16973193101
The Mystic Moods Orchestra,0.169797032606
Riviera Regime,0.171532242397
Hazmat Modine,0.172740338917
Legs on Earth,0.1744816118
Mani Spinx,0.175885619815
Jorgen Ingmann,0.177855110799
Riky Maltese,0.179138807216
All About Chad,0.181000743587
Phil Miller,0.181117834384
Vertigo Angels,0.181460068376
The Gena Rowlands Band,0.18161083002
Glampire,0.18255404684
X Makeena,0.182611583294
Steve Riley & The Mamou Playboys,0.183182471394
Highway 9,0.185702796141
Russel Garcia,0.18577951341
Steady Mobb'n,0.187364536107
David & Steve Gordon,0.187676300929
Dog Faced Gods,0.188486693443
Empty Trash,0.190841435071
Gambafreaks,0.192296534935
Liléa narrative,0.193272126164
Ammer - Einheit - Haage,0.195369160575
Ace Troubleshooter,0.196798560547
Biquini Cavadão,0.198747825807
Hasna el Becharia,0.201993456643
Gene Latter,0.203607934358
The Big Screen,0.204232714525
DJ Shah meets York,0.206196136623
Latex Empire,0.206959688177
Fes-te Fotre,0.208999445726
Digital Karma,0.209700271024
Ross154,0.210019580095
Ross 154,0.210019580095
Klaus & Kinski,0.210721572843
The Paradons,0.211100336195
Lonesome Standard Time,0.21278188413
Seine,0.214409702231
Walkers,0.214466896804
Terry Lee Brown Junior,0.214723811889
Ray Brown Trio / Ralph Moore,0.214809934176
Liv Marit Wedvik,0.214996469307
Os Paralamas Do Sucesso,0.218585220729
Boyd Bennett & His Rockets,0.218636786137
Rasta Bigoud,0.220366169282
Walela,0.220429191124
Robert Rodriguez_ Graeme Revell,0.221339107627
Lesette Wilson,0.222243362033
Once11,0.22303278394
John Wilkes Booze,0.223991581211
Inner City Unit,0.224276928203
Baby Calendar,0.224348748493
Fanny Brice,0.224717231813
Melanie Garside,0.224805244588
Montauk P,0.225066396
Sergio Denis,0.225339516492
Barão Vermelho,0.226090830169
Hot Club De Paris,0.227156591879
Kittens for Christian,0.227217397899
The Red Hot Valentines,0.227588440618
Stephen Mallinder,0.227994560927
Rough & Ready,0.228037450944
Grand Ulena,0.22831737768
Seth Troxler & Patrick Russell,0.229788106932
SemiBruce,0.229957884301
Galore,0.230868368483
Grand Stand,0.231118412687
Trace Decay,0.231410212962
Two Culture Clash feat. Big Youth,0.231446762786
House of Large Sizes,0.231749735924
Thee Headcoats Sect,0.232306111084
Dannii Minogue And The Soul Seekerz,0.233131592053
Jack Orsen feat. Chablife,0.234625314276
Outputmessage,0.234629879313
Robert Wyatt; Carla Bley; Steve Swallow; Jack DeJohnette; Terje Rypdal,0.234893248111
The Grid,0.235378889478
Monika Kruse@Voodooamt,0.23569768352
Chirie Vegas,0.237150926441
The Whiles,0.237153097137
E. A. POE,0.237798451226
Necronomitron,0.238042210519
Dan Brodie And The Broken Arrows,0.238119458426
Daylight Torn,0.238292807942
The Original Five Blind Boys Of Mississippi,0.238446776712
Damn Arms,0.238700309003
Killa,0.239631395392
DJ Taz,0.240551990468
Sodamnloud,0.240784949907
Dean Fraser,0.241045802505
Nuclear Valdez,0.241270260789
Dawid Szczesny,0.2415508397
Sancocho,0.241938093676
L'Invasione degli Omini Verdi,0.24259984698
The Bop Chords,0.2428142595
Glenmark/Eriksson/Strömstedt,0.242854331909
The Choirboys,0.242877616122
Marcel Kanche,0.24293948881
Shorthanded,0.243947008883
Don Nix,0.243969935761
"Artie ""Blues Boy"" White",0.244048259165
Sonny Til & The Orioles,0.244099182165
BT_ Tommy Stinson,0.244476640978
Dillard Chandler,0.244542435331
Ted Nugent's Amboy Dukes,0.245610763503
Liberty N Justice,0.246145772405
Dj Fury,0.246790440706
Matt Mays,0.246800157421
Traffic Jam,0.246864209854
Ministère Amer,0.246879696423
Dan Brodie,0.246960509832
Gez Varley,0.247181847813
The Worthless United,0.24762116388
Kid Bailey,0.248112061987
Domased,0.248950634271
The Lovethugs,0.249365312028
Deon Estus,0.250795801035
Devanic,0.25109374038
DJ Guy featuring DJ Knowledge,0.251895538548
Noel Parlane,0.252280114084
Roy Roberts,0.252333655842
Alvino Rey And His Orchestra,0.252429687861
Speedbuggy USA,0.253389496844
Pucho & His Latin Soul Brothers,0.253785312971
Gangster Fun,0.253834553554
El Último Ke Zierre,0.254025183826
Neïmo,0.254147816371
Neimo,0.254147816371
Kim Fox,0.254693154034
Stu Hirst,0.254957921205
Art Lande_ Jan Garbarek,0.255209153911
Path Of Resistance,0.255639836914
Da Mongoloids,0.256007390712
Special Needs,0.256252266602
Hanna-McEuen,0.25632536065300005
Members Of Mayday,0.256874050995
María Elena Walsh,0.257062920296
Mike And The Mechanics,0.257381627597
Stefani Vara,0.257908492775
The Counts,0.257938195946
Ed Case;Elisabeth Troy,0.258200578872
candycream,0.258315847476
Bass Trip,0.258771361323
Gary U.S. Bonds,0.259277462143
The Undecided,0.259765849179
7 Sharp 9,0.259931047155
Frank Chacksfield And His Orchestra,0.259948009835
Los Masis,0.259990802421
Girls On Film,0.260183419565
Jan Leyers,0.260422718158
Thee Hydrogen Terrors,0.260901319888
Johan Skugge,0.261378120562
Questions In Dialect,0.261427694312
Golden Bear,0.261573832793
Flowin Immo et Les Freaqz,0.261730129606
Crimson Spectre,0.261919327348
David Scott,0.262217003265
The Watts 103rd. Street Rhythm Band,0.26259148509
Sandy Mouche,0.262699463815
Mr Gelatine,0.26275510037
Genya Ravan,0.26281663985
Anton Chernikov,0.263234401628
The Sunshine Boys,0.263436689273
Piskie Sits,0.263736996794
Ophélie Winter,0.263795103856
Edi Fitzroy,0.264085555991
Brent Bourgeois,0.264463156815
Attack Formation,0.264930712631
Truls And The Trees,0.265256227854
Ronnie Dove,0.265389923415
Anup,0.266200646378
Meryn Cadell,0.266402791012
Albert Castiglia,0.26647022866
Heavyweight Dub Champion,0.266516294464
The Shake,0.266644602009
Natália Mallo,0.266852262373
Derek Miller,0.267179162999
Toots Hibbert,0.267184131348
Tracy Nelson,0.267296204554
Elliott The Letter Ostrich,0.267555906145
Porno para Ricardo,0.26806630661
Mr. Bassman,0.268130016396
Cricco Castelli,0.26852569028
The Franciscan Hobbies,0.268611569251
Channels 3x4,0.269008286701
Outer Circle,0.26904171162
Brassmunk,0.269350130738
Anita Bryant,0.269669656642
Clif Magness,0.269947384755
The Treacherous Three,0.270048104265
Savoy-Doucet Cajun Band,0.270052912032
Résistance,0.270085592
Tres Tristes Tigres,0.270110690573
Royal Crescent Mob,0.27039885374
Domu presents Pete Simpson,0.270714380762
Amazing Transparent Man,0.270802618669
Suicide Booth,0.270928100699
Dave Derby,0.27111346144
Les Malpolis,0.271250596262
Barbez!,0.271534062183
Xose Manuel Budiño,0.271757448429
3 Canal,0.271844100584
Screw 32,0.272176064113
Lina Margy,0.272198729131
Béla Fleck and the Flecktones,0.272364626326
S.U.P,0.272385459553
Lil Johnson,0.272520566589
Joe Lopez,0.272926796892
Agenda of Swine,0.273118637868
Pictures of Then,0.273643478873
Count Basie And Joe Williams,0.273682487259
Future Kings Of Spain,0.273864581225
The Teen Queens,0.274278156004
Big John Greer,0.274769104138
Bonnie Guitar,0.275854458572
Mickey Katz,0.275986610287
The Smooths,0.276440344914
Havana Black,0.276448942167
Danilo Perez / Claus Ogerman,0.277119513467
Bullets To Broadway,0.277202817552
Mark Bacino,0.2773553856
Gus Viseur,0.277789967207
Kari Tapio,0.27842551605
La Base,0.278545157813
Ekseption,0.278689687997
DJ Wally,0.278702468435
Jansen/Barbieri,0.278715304154
Fotomaker,0.278734200142
Gorch Fock,0.278794508952
Photon Project,0.279065044902
Oldelaf et Monsieur D,0.279976025033
Bandit,0.280021476408
The Turn-Ons,0.280075388969
Fatback,0.280305538691
Age Of Chance,0.280336932254
Lets Get Out Of This Terrible Sandwich Shop,0.280777277552
The Jazz Messengers,0.280804757274
DJ Markitos,0.281445413983
Ángeles del Infierno,0.281524088792
Angeles del Infierno,0.281524088792
Tara Putra,0.281905871321
Jazz Gillum,0.282286405633
Orquestra,0.282491645708
T.p. Orchestre Poly-rythmo,0.283444332599
The Jordanaires & Orion,0.283562595981
Heraldo Do Monte,0.283744084689
Andreas Mattsson,0.283975457068
Payola,0.284143241825
Tim Love Lee,0.284633447104
Tim 'Love' Lee,0.284633447104
Moving Cloud,0.284719343755
Luke Eargoggle,0.285041682735
Hopalong Knut,0.285416768325
Kingston Falls,0.285661885895
Tycoon,0.285963261958
While,0.28616203501
Rod Mason,0.286208871527
Tout Simplement Noir,0.286210749976
Lalleshwari (Katie Jane Garside),0.286220366425
Kay D. Smith,0.28635188889
Galerie Schallschutz,0.286483589144
The Bonzo Dog Band,0.286567249122
Crazyhead,0.286589947386
Vulgaires Machins,0.286673087707
Rattlesnake Remedy,0.286798191008
Elliot Easton,0.287025635472
Rossington Collins Band,0.287528972301
Kirk Fletcher,0.287641232006
Askil Holm,0.287864065922
Rita Chiarelli,0.288050285376
Freekbass,0.288311620525
Sue Keller,0.288653680805
JoeyStarr,0.288685445003
Sticks & Stones,0.28883351852
Chris Connelly and the Bells,0.289028262543
Micro Audio Waves,0.289187468182
Mundo Complexo,0.289367026585
Ferris,0.289487259712
Traks,0.289824912046
Smokehouse,0.290141409945
La Unión,0.290285868749
Secret Oyster,0.290531655941
Sul.a,0.290633122484
Jim Nabors,0.290657620909
Marvin & Johnny,0.29067296293
Elia Cmiral,0.290829066735
Gaskin,0.290950448939
Bikini Machine,0.290997288204
Mystic Rhythms,0.291030534194
Charlie Drake,0.291096729044
Nellie Lutcher,0.291188579307
Ideal Free Distribution,0.291271410668
Beau Jocque_ The Zydeco Hi-Rollers,0.291408370717
Tony Murena,0.291449547565
O'2L,0.29149863156
Jimmy Wakely,0.291539727089
Edgar Winter's White Trash,0.291606770904
Too Strong (mit Rough Dee),0.291662883366
Los Inquietos,0.291669715294
Jamelão,0.291819243105
The wee djs,0.291835431007
UMOJA,0.291861081002
Scott Glasgow,0.291913130379
Loer Velocity,0.292000421281
Gregory Isaacs & Dennis Brown,0.292299858579
Number One Cup,0.292636751207
Dorsey Burnette,0.292692092834
Day For Night,0.292854745887
Rex Allen,0.292855356685
Blessid Union Of Souls,0.29328432868525
Alex Chilton,0.293612197534
Team SR,0.293634034218
p.A.F.F.,0.293705024246
The Muckruckers,0.29374756912
Cripple Clarence Lofton,0.293793233152
Love Me Destroyer,0.29394730494
Terry Ferminal,0.294250592007
Stacy Kidd,0.29427739804
Patsy MONTANA / The PRAIRIE RAMBLERS,0.294361709664
Miguel Mateos - Zas,0.294390452574
Mafalda Veiga e João Pedro Pais,0.294493487409
Ella Washington,0.294709772807
The Clutters,0.294743351888
Skallander,0.294757554568
Carl Crack,0.29478990364
Michael Stanley Band,0.294986616555
Riley Puckett,0.295103597806
Leon Rosselson,0.29517884139
Kidz Bop Kids,0.2952574245496
Alexis Korner's Blues Incorporated,0.29538090846
Dale & Grace,0.295463306911
Babs Gonzales,0.295499305375
George Faith,0.295549702547
Mandy Barnett,0.295605868279
Groupa,0.295967984047
JennyAnyKind,0.296268954311
No More Lies,0.296368105573
"David ""Honeyboy"" Edwards",0.29651671019
Human Disease,0.296792153943
Bill Black's Combo,0.296928973788
Jena Berlin,0.296947127039
Jerry Lewis,0.2969556818
Blind Joe Taggart,0.296959198169
Mike Leon Grosch,0.297119709359
Star Off Machine,0.297249790892
Tall Dwarfs,0.297447131116
The Doc Watson Family,0.297463762359
Eastern Lane,0.297515607417
Larry Garner,0.297720065586
Floyd Tillman,0.297764407987
Daby Balde,0.297888755325
Patrick Alavi,0.297942667231
Flop,0.297956712724
Una Mae Carlisle,0.298208026606
Paik,0.29829092597
Abraham Laboriel,0.298372720987
Geoff Muldaur,0.298434730116
Hampton String Quartet,0.298693218152
Flybanger,0.298784607111
Diomedes Diaz _ Juancho Rois,0.298820777507
Francky Vincent,0.299088305738
Hall Of Fame,0.299177305722
Faye Adams,0.299230367929
Rev. Gary Davis,0.299375441312
The Steeles,0.299644497553
Gisselle,0.29993529462
Mick Clarke,0.299994748415
Edith Lefel,0.300046490366
L'Arc~en~Ciel,0.300250334519
Dogs Of Peace,0.300281468978
The Cuff Links,0.300300384567
Ronee Blakley,0.300300828813
Bruce Rowland,0.300454459812
Kevin Braheny,0.300522931239
Rip Van Hippy,0.300621265573
Hélène Segara,0.300693503214
Se:Sa Featuring Sharon Phillips,0.301112170107
The Satintones,0.30112969424
Deckard,0.301196064627
Glen Washington,0.301246881416
Catz n´Dogz,0.301350898138
Joni James,0.301384284728
La Ira De Dios,0.301456217777
Dave Hamilton,0.301482400236
Bob Neuwirth,0.301502461858
Glenn Mercer,0.301533731583
Mr. John,0.301856631419
The Paramounts,0.301941983563
Sharon Burch,0.301947212693
The Takeovers,0.302058730605
The Mohawk Lodge,0.302080708719
Dik Dik,0.302212827373
Eddie Flashin Fowlkes,0.302226025284
Mick Farren,0.302539036036
Jelly Roll Kings,0.302709829276
The Foundry Field Recordings,0.302741767235
Jeff Rona,0.302897132272
Portable,0.302930470625
Kerrs Pink,0.302942799867
Lee Ritenour,0.3029772447415
Controlled Fusion,0.303043501695
New Radiant Storm King,0.303074996077
Laurel Canyon Ramblers,0.303099046021
Franz Waxman_ Joel McNeely_ Royal Scottish National Orchestra,0.303130401986
Don Willis,0.303201275217
Azeem,0.303437168872
Grin,0.303558836065
Carlos Ponce,0.303618163119
Souls,0.30376632102
Skeets McDonald,0.303962624192
Hanns Dieter Hüsch,0.30431092702
Georgia White,0.304319289567
Stew,0.304547713372
Love Joys,0.304991670793
Crematorium,0.305093197499
Musafir,0.305192102755
Gato Perez,0.305288008246
Alejandro Santiago,0.305294904296
Mick Est Tout Seul,0.30538507493
Ottmar Liebert + Luna Negra,0.305435561639
Samuel Flynn Scott,0.305532099271
The Wilde Flowers,0.305546276593
France D'Amour,0.305579278352
Indo Aminata,0.30568859342
Hugh Dillon,0.305855857161
J. Peter Robinson,0.305900471353
Margarida Pinto,0.305979255944
Lisahall,0.306065424948
Trisco,0.306101028543
The June Spirit,0.306129858047
Weasel Walter,0.306213336897
Kotebel,0.306241680587
SUE THOMPSON,0.306242264246
Forty Winks,0.306275556699
The Vara-Tones,0.306322313759
Parallel or 90 Degrees,0.30635266636
Wooden Wand And The Vanishing Voice,0.30636530501
The Occasional Keepers,0.306423267342
Antigen Shift,0.306473937748
Didier Lockwood,0.306493676437
John Littlejohn,0.306681119225
Subsky,0.306749683617
Willie Kent,0.306941020686
Lara,0.306947608643
Laurel & Hardy,0.307119841955
Café Drechsler,0.307249041439
The Jason Bonham Band,0.307366234445
The Cadets,0.307370239258
Resistance 77,0.307471584636
On A Pale Horse,0.307508396293
Aerosis,0.307573035201
Lord Invader,0.307627800579
The Primeridian,0.307698201406
Evan Parker Electro-Acoustic Ensemble,0.307704643382
The Woggles,0.307812673895
The Applejacks,0.308189696984
Whitney Cummings,0.308303461876
Mark Mallman,0.308349944008
Part 2 featuring Sandra Melody & Speech,0.30848446617
Elsa Garcia,0.308488877136
Triumph The Insult Comic Dog,0.308554684147
Diesel Park West,0.308643645572
Sawt El Atlas,0.308771785178
Cooler Kids,0.308877692061
Lt. Stitchie,0.308882116899
Rodgau Monotones,0.308951234226
Screamfeeder,0.309038354674
Alison Brown,0.309095160257
Polytechnic,0.309098802369
Continental Drifters,0.309136848785
Boyd Tinsley,0.309338668727
Malcolm X,0.309345920392
Nando Lauria,0.309656148697
Bradley Leighton,0.30965853411099997
Sargasso Trio,0.309786215015
Angélica Maria,0.309901682843
Pablo Montero,0.309919339654
Frl.Menke,0.310065424538
Pierrot Lunaire,0.310075556742
Eight Frozen Modules,0.310256402734
Astream,0.310379890609
Ena Pá 2000,0.310576034287
The Microscopic Septet,0.310617066695
Fire Island,0.31066288835
Pete Townshend & Ronnie Lane,0.310732808718
Nights Like These,0.31075405708
Dirty Old Ann,0.310831348739
Dead or American,0.310864998033
Novadriver,0.310984217407
Poney Poney,0.311003767143
The Old Haunts,0.311023379635
Tattoo Rodeo,0.311089736353
Cathal Coughlan,0.311092537921
Vinícius Calderoni,0.311097706866
Rocio Banquells,0.311217258058
Melys,0.311252972438
Dave 'Baby' Cortez,0.311269884713
Tomas Bodin,0.311341118198
God Is My Co-Pilot,0.311408540156
S.Y.P.H.,0.3114268449
Mau Mau,0.311559175647
Issam Houshan,0.311587415012
Mark Medlock & Dieter Bohlen,0.311723397336
JVOX,0.31173184398
Royal Treatment Plant,0.31176430303
Evan Olson,0.311785268943
Mojo Nixon & The Toad Liquors,0.311814922424
Royalistick,0.312134171259
Cool Hipnoise,0.312152562396
Dons,0.31216924156
Solarstone & Orkidea,0.312242496537
Mike Nichol,0.31224512506
The Jazz Butcher Conspiracy,0.312260760672
Cha Cha Cohen,0.312316513587
Paul Overstreet,0.312360371745
Chris Hillman,0.312373503736
Jesse Mae Hemphill,0.312489402723
Neon Hunk,0.312504228915
Alcohol Funnycar,0.31255981253
Jill Cunniff,0.312602227698
A Thousand Knives Of Fire,0.312621202204
Juan Carmona,0.312678559631
Earth Nation,0.312721473686
Damian Schwartz,0.312769783387
Havalina Rail Company,0.312791006307
Jo Jo Gunne,0.312914196072
Sylk 130,0.312937022276
Burn In Silence,0.313002585231
Koufax,0.313035280533
Any Trouble,0.313092036873
David Jalbert,0.313119744436
Sister Double Happiness,0.313141853326
Nathan Abshire,0.313143740214
Oztara,0.313171601948
Lake Trout,0.313303531218
Erik De Koning,0.313425301271
Tunnel Rats,0.313450781381
Champion Jack Dupree,0.31350075537
Tex Williams,0.313647771107
Pee Wee King,0.313667191807
Jeanne Pruett,0.313675752271
Mariano Yanani,0.31386609958
Juliet Turner,0.313895980898
Johnny Hickman,0.313987042723
Second Coming,0.314009296116
Ejectorseat,0.31404650878
Honeyrider,0.314112979363
Slowride,0.314304200383
Buy Now!,0.31433997621
Lionel Hampton and his orchestra,0.314446521676
Jair Rodrigues,0.314449888622
Tim Fischer,0.31462621646
Count Zero,0.314647219559
Jemini the Gifted One,0.314736982301
Pro>Tech,0.314800580275
Dissziplin,0.314964405607
5 Royales,0.315016734554
My Computer,0.315259024495
Oscar Brand,0.315286656895
Big Bill Morganfield,0.315302437272
The Ipanemas,0.315382623746
Starshooter,0.315424890197
James Galway,0.31562183938
Quazar,0.31568714544
The Grassy Knoll,0.315693531707
Rádio Macau,0.315749130653
Vanilla Pod,0.315790679498
Jannick Top,0.315890824435
Jeff Wahl,0.315919018622
High Fashion,0.316219263766
Cowboy Prostitutes,0.316243541874
Damon Aaron,0.316290501867
The Blues Band,0.316335746582
Poor Rich Ones,0.316365193387
The Chrome Cranks,0.316397614878
For Real,0.316448309113
Little Junior Parker,0.316486173006
Latte E Miele,0.316508721814
Billy J. Kramer,0.316522215167
Memphis La Blusera,0.316724550698
Jazzy B,0.316853259515
"Billy ""The Kid"" Emerson",0.317011460149
Jackson United,0.317016494567
John Selway,0.317050633436
Ultrakurt,0.317058397489
Phil Kline,0.317069996488
Paul Avgerinos,0.317125718746
Marc Miroir,0.317186059385
Lluis Llach,0.317273334435
Carrie Newcomer,0.317306655706
Don Grusin,0.31732396847
Il disordine delle cose,0.317406833655
Moving Ninja,0.317516298049
La Pestilencia,0.317621192487
Jesse Dayton,0.317729939552
Paquita La Del Barrio,0.317762006437
Studebaker John & The Hawks,0.317816441311
Lennie Tristano,0.317845056011
Virna Lindt,0.31785028129
Ensemble PAN,0.317864332361
Le Rat Luciano,0.317866750088
Embargo,0.317912124656
Robert Pete Williams,0.318100633485
Reed Foehl,0.318147530439
Zanzibar,0.318155458109
Cold Blood,0.318185496988
Elek Bacsik,0.318190100867
Dexter Romweber,0.31829845585
Shinjuku Thief,0.31836562095
Zap Pow,0.318384937429
Joshua Rifkin,0.318458623333
Railer,0.318692582004
Savon,0.318743321269
DeGarmo & Key,0.318834231458
Little Beaver,0.318839049917
Another Fine Day,0.31898010639
Hello Sailor,0.319042001924
Jimmy Yancey,0.319079780579
Guitar Slim,0.319119601789
Afenginn,0.319144020103
Gil Semedo,0.319144020103
Tim Rogers,0.319319968783
Dancing Fantasy,0.319337954892
Training For Utopia,0.319440403281
Dave Holland Sextet,0.319446383651
Jasbir Jassi,0.319480486391
Windmills By The Ocean,0.319514672274
Manishevitz,0.319526894337
Equipe 84,0.319562212077
Spoiler,0.319612165161
Creaming Jesus,0.319616953775
Organic Grooves,0.319622961264
Akotcha,0.319628352597
Tracy Gang Pussy,0.31963534964
Kimara Lovelace,0.319679159214
Blind Ego,0.319799327008
Naimh Parsons & Arcady,0.319888652077
Danny Bryant's RedEyeBand,0.319892175897
The Charms,0.319927242389
Heiner Goebbels,0.320000822048
Line Renaud,0.320086926752
Bobby Hackett_ Jack Teagarden,0.320088209746
Bobby Hackett,0.320088209746
Starpoint,0.320250254656
Mariem Hassan,0.320306614725
Lester Flatt,0.320366918656
Even In Blackouts,0.320367420085
Slaï,0.320375538496
Rumillajta,0.320418420417
Mixel Pixel,0.320471592185
Anubian Lights,0.320565219552
Les Dudek,0.320637284115
Benny Green,0.320699879319
Morthem Vlade Art,0.320752681377
Causey Way,0.320779440683
Jack Dangers,0.320850874762
The Blockheads,0.320875706211
Coltrane Motion,0.320903716899
ImpLOG,0.321146778614
Long John Baldry,0.321156489741
El Guapo Stuntteam,0.321206688404
The Muffins,0.32125345964
Liquid Zen,0.321286871242
Antifreeze,0.321337957796
The Jeff Beck Group,0.321366996762
Mischa Daniels,0.321430435568
Doctors Of Madness,0.32144211054
Voices of Theory_ Voices of Theory,0.321589799758
Mae West,0.321713203693
Great Northern,0.321956046173
Overwhelming Colorfast,0.322009138972
Dale Warland Singers,0.322010483558
Le Vrai Ben,0.322027698694
Mike Marshall & Chris Thile,0.322091766818
At All Cost,0.322206370044
Eat,0.322231509797
Willy Porter,0.322347489137
The Tyde,0.322399690365
Throttlerod,0.32243471076
Leroy Gibbons,0.322448600816
Yami Bolo,0.322482577876
Joe 90,0.322627303675
Bobby Taylor,0.322653163262
DJ Mozy,0.322688165468
Rod Piazza & The Mighty Flyers,0.322704932015
Ladyfuzz,0.322777322183
Laszlo Hortobagyi,0.322805721532
Favretto,0.322811992416
Angela Ro Ro,0.322878937799
Zachary Richard,0.322879795013
Esa Pakarinen,0.322882489954
Dalto,0.322898067339
Françoise Hardy,0.322921894115
Swen Weber,0.323039807824
Bobby Short,0.323066161027
Peps Blodsband,0.323186435223
Lird Van Goles,0.323372777748
Baby Boy Da Prince,0.323399660123
Little Tony,0.323429418533
Stampin´ Ground,0.323434390413
